#var {mouldings_blacksmith} {{copper platemail}{}
{1-handed copper spear}{}
{2-handed copper spear}{}
{copper breastplate}{}
{1-handed copper lance}{}
{copper greaves}{}
{2-handed copper lance}{}
{copper shield}{}
{copper codpiece}{}
{1-handed copper mace}{}
{2-handed copper mace}{}
{copper helmet}{}
{1-handed bronze spear}{}
{2-handed bronze spear}{}
{copper glove}{}
{1-handed copper axe}{}
{1-handed bronze lance}{}
{copper boots}{}
{2-handed copper axe}{}
{2-handed bronze lance}{}
{1-handed copper dagger}{}
{1-handed copper sword}{}
{bronze platemail}{}
{1-handed bronze mace}{}
{1-handed iron spear}{}
{bronze breastplate}{}
{2-handed bronze mace}{}
{2-handed copper sword}{}
{bronze greaves}{}
{1-handed bronze axe}{}
{2-handed iron spear}{}
{bronze shield}{}
{2-handed bronze axe}{}
{1-handed iron lance}{}
{2-handed iron lance}{}
{bronze codpiece}{}
{1-handed bronze dagger}{}
{iron platemail}{}
{bronze helmet}{}
{1-handed iron mace}{}
{1-handed bronze sword}{}
{bronze gloves}{}
{1-handed steel spear}{}
{2-handed iron mace}{}
{2-handed bronze sword}{}
{iron breastplate}{}
{bronze boots}{}
{2-handed steel spear}{}
{1-handed iron axe}{}
{iron greaves}{}
{2-handed iron axe}{}
{iron shield}{}
{1-handed steel lance}{}
{1-handed iron dagger}{}
{2-handed steel lance}{}
{1-handed steel mace}{}
{steel platemail}{}
{iron codpiece}{}
{1-handed iron sword}{}
{iron helmet}{}
{steel breastplate}{}
{2-handed iron sword}{}
{2-handed steel mace}{}
{steel greaves}{}
{1-handed steel axe}{}
{iron gloves}{}
{iron boots}{}
{2-handed steel axe}{}
{steel shield}{}
{1-handed steel dagger}{}
{1-handed steel sword}{}
{steel codpiece}{}
{2-handed steel sword}{}
{1-handed silver spear}{}
{steel helmet}{}
{steel gloves}{}
{2-handed silver spear}{}
{steel boots}{}
{1-handed silver lance}{}
{2-handed silver lance}{}
{1-handed silver mace}{}
{silver platemail}{}
{silver breastplate}{}
{2-handed silver mace}{}
{silver greaves}{}
{1-handed silver axe}{}
{2-handed silver axe}{}
